CLLI,Location
ABGN,AUBIGNY
ADLK,ADAM LAKE
AHVL,ASHVILLE
ALBH,ALBERT BEACH
ALMT,ALTAMONT
ALNS,Alonsa
ALPN,ALPINE
ALXN,Alexander
AMBA,ANAMA BAY
AMRN,Amaranth
AMRY,AMERY
ANOL,Anola
ANVL,ANGUSVILLE
APPK,ASPEN PARK
ARBK,ARBAKKA
ARBR,Arborg
ARDN,ARDEN
ARGY,ARGYLE
ARND,ARNAUD
ARNS,Arnes
ARZA,ARIZONA
ASHR,Ashern
ATON,Altona
AUST,Austin
AWRV,ARROW RIVER
BACK,BACK
BADN,BADEN
BAGT,BAGOT
BARW,BARROWS
BCHT,BROCHET
BCLK,BERNIC LAKE
BDHL,Brandon Hills
BDLK,BIRD LAKE
BDRV,BIRD RIVER
BDVN,BLOODVEIN
BELH,BEULAH
BELR,Belair
BENT,Benito
BEVR,BEAVER
BFLK,Buffalo Lake
BFPT,Buffalo Point
BGCK,BOGGY CREEK
BGPN,BIG POINT
BIHL,Birds Hill
BILD,BIELD
BILK,Big Island Lake
BIRD,BIRD
BIRN,BIRNIE
BIST,Bissett
BKDL,BROOKDALE
BKNW,Bakers Narrows
BLDR,Baldur
BLMR,Balmoral
BLMT,Belmont
BLMT,
BLNT,Blumnort
BLST,BELLSITE
BLVW,BELLEVIEW
BMBH,BALMY BEACH
BNRV,Berens River
BNSC,Binscarth
BRDT,BIRDTAIL
BRDW,BRADWARDINE
BRFD,BARKFIELD
BRGH,BRIGHTSTONE
BRHD,Brokenhead
BRLK,BRERETON LAKE
BRND,Brandon
BRNK,Brunkild
BRNN,BRANDON NORTH
BRNS,BARNSLEY
BRQR,La Broquerie
BRRV,Birch River
BRSD,BURNSIDE
BRST,BRISTOL
BRTL,Birtle
BRVY,BROAD VALLEY
BRXL,BRUXELLES
BSIR,Black Sturgeon Indian Reserve
BSJR,Beausejour
BSRV,Big Stone River
BSVN,Boissevain
BSWD,BASSWOOD
BTHN,BETHANY
BTLK,BETULA LAKE
BVCK,Beaver Creek
BWMN,Bowsman
BYMT,Baldy Mountain
CADL,CARDALE
CARL,CARROLL
CAYE,CAYE
CAYR,CAYER
CDLK,CADDY LAKE
CDNL,CARDINAL
CHAR,CHARLES
CHHL,Churchhill
CHLK,CHILDS LAKE
CILK,CHISEL LAKE
CKCK,Cooks Creek
CLBY,COLBY
CLLK,Clear Lake
CLND,Clandeboye
CLNW,CLANWILLIAM
CLRK,CLARKLEIGH
CLRS,CULROSS
CLRV,Cyril River
CLWR,CLEARWATER
CMPR,CAMPER
CMRN,CAMERON
CMVL,Camperville
CNRVMBCH,CRANE RIVER
COWN,Cowan
CRBR,Carberry
CRBY,CROSSING BAY
CRCS,CROCUS
CRCY,Crystal City
CRLR,CARLOWRIE
CRMN,Carman
CRMR,CORMORANT
CRND,CRANDALL
CROM,CROMER
CRPK,CRAWFORD PARK
CRPR,Cranberry Portage
CRRK,CARRICK
CRRV,
CRTR,Cartwright
CRVW,CRESTVIEW
CRWL,CROMWELL
CSLK,Cross Lake
CTFD,CHATFIELD
CWLK,CLEARWATER LAKE
CWPT,CASTAWAY POINT
CYRV,Cypress River
DABH,DELTA BEACH
DAPH,Dauphin
DCBA,DUCK BAY
DCKR,DECKER
DCTH,DACOTAH
DELE,DELEAU
DFRT,DUFROST
DGLD,Dugald
DGLS,Douglas
DHLK,DITCH LAKE
DLLS,Dallas
DLRN,Deloraine
DMCY,Dominion City
DNBA,DAWSON BAY
DNLK,DENNIS LAKE
DOMN,DOMAIN
DPBH,DAUPHIN BEACH
DRBN,DURBAN
DRFR,Darlingford
DRHR,DEERHORN
DRMR,DROPMORE
DSBY,DE SALABERRY
DVLK,Devils Lake
DVRPMBRR,
EBFW,Ebb and Flow
EBOR,EBOR
EBRN,East Braintree
EDDY,EDDYSTONE
EDEN,EDEN
EDRN,EDRANS
EDWN,EDWIN
EGLK,EGG LAKE
ELBA,ELM BAY
ELGN,ELGIN
ELIE,Elie
ELKH,Elkhorn
ELMA,ELMA
ELPH,Elphinstone
ELVA,ELVA
EMCK,Elm Creek
EMGV,ELM GROVE
EMSN,Emerson
ERDL,Eriksdale
ERSN,Erickson
ERVL,Easterville
ERVW,ERINVIEW
ESLK,
ETHL,Ethelbert
FCLK,Falcon Lake
FCRV,Falcon River
FKLN,FRANKLIN
FKRV,FORK RIVER
FLFN,Flin Flon
FLSN,FALLISON
FNDL,FERNDALE
FNYS,FANNYSTELLE
FOLY,FOLEY
FRFD,FAIRFORD
FRFX,FAIRFAX
FRTR,FORTIER
FRWD,FRASERWOOD
FSBR,Fisher Branch
FSRV,Fisher River
FSTN,FISHERTON
FXWR,Foxwarren
GDBH,Grand Beach
GDLD,GOODLANDS
GDLK,GODS LAKE
GDPS,GRANDE POINTE
GDRP,Grand Rapids
GDRV,God's River New
GDST,GOLDEN STREAM
GDTL,GNADENTHAL
GDVW,Grandview
GIML,Gimli
GIRX,GIROUX
GLAS,GLASS
GLDS,Gladstone
GLKN,Gods Lake Narrows
GLLK,Gull Lake
GLLM,Gillam
GLPL,Gilbert Plains
GLRA,GLENORA
GNBO,Glenboro
GNBY,Glen Bay
GNCS,GLENCROSS
GNEL,GLENELLA
GNLD,Greenland
GNLE,GLENLEA
GNLK,GREEN LAKE
GNMR,GLENMOOR
GNTN,Gunton
GRBY,GREEN BAY
GRDL,Grahamdale
GRET,Gretna
GRFL,GREAT FALLS
GRHL,Garden Hill 
GRIS,GROSSE ISLE
GRLD,GARLAND
GRNT,Grunthal
GRSM,Grassmere
GRSN,GARSON
GRSW,Griswold
GRTN,GARDENTON
GSLK,Goose Lake
GSRV,GRASS RIVER
GVLK,GRANVILLE LAKE
GYPV,Gypsumville
GYSR,GEYSER
GYVL,GRAYSVILLE
HAMT,Hamiota
HBLK,HERB LAKE
HCLA,Hecla
HDNG,HARDING
HDNL,Headingley
HDSH,Hadashville
HDSN,Hodgson
HELK,HERBLET LAKE
HGBL,HIGH BLUFF
HGRV,Hargrave River
HHFD,Hochfeld
HLBO,HALLBORO
HLBR,HILBRE
HLBS,HALBSTADT
HLGN,HIGHLAND GLEN
HLLD,Holland
HLLG,HERB LAKE LANDING
HMWD,HOMEWOOD
HNAS,HNAUSA
HPVL,HARPERVILLE
HRND,HORNDEAN
HRWB,HARROWBY
HRWL,HARWILL
HRWO,HARMSWORTH
